,Company name,Website,Sector,Region,Revenue Band
204,CONNECT MANAGED HOLDINGS LIMITED,http://www.connectmanaged.com,Information Technology,London,£10M - £20M
205,CONNECT SCAFFOLDING LIMITED,http://www.connectscaffolding.co.uk,Engineering & Construction,East of England,£10M - £20M
206,CONNOP & SON LIMITED,http://www.connopandson.com,Farming & Fishery,West Midlands,£10M - £20M
207,CONSUMMATE INVESTMENTS LIMITED,http://www.sustainablegroupuk.com,Building & Landscape services,North West England,£10M - £20M
208,CONTAMAC HOLDINGS LIMITED,https://www.contamac.com,Manufacturing,East of England,£10M - £20M
209,CONTECHS HOLDINGS LIMITED,http://www.contechs.co.uk,Automotive,East of England,£40M - £50M
210,CONTINENTAL BOTTLE CO. LIMITED,http://www.continentalbottle.co.uk,Manufacturing,North West England,£10M - £20M
211,CONTRACT SUPPLIES (WHITE GOODS) LTD,http://www.contractsupplies.com/,Engineering & Construction,West Midlands,£10M - £20M
212,CONVEYANCING DATA SERVICES LTD,http://www.conveyancingdata.com,Information Technology,South East England,£6M - £10M
213,COPERNUS LIMITED,http://copernus.co.uk,Food & Beverage,Yorkshire and the Humber,£40M - £50M
214,CORDING REAL ESTATE GROUP LIMITED,http://www.cordinggroup.com,Real Estate,London,£6M - £10M
215,CORE COMMUNICATION INVESTMENTS LIMITED,http://www.coretel.co.uk,Information Technology,London,£30M - £40M
216,CORE-ASSET CONSULTING LIMITED,http://www.core-asset.co.uk,Employment services,Scotland,£10M - £20M
217,CORPACQ LIMITED,https://www.corpacq.com,Financial services,North West England,£150M - £200M
218,COUNTY SUPPLIES (LONDON) LIMITED,http://countysupplieslondon.co.uk/,Food & Beverage,London,£6M - £10M
219,CR7 SERVICES LTD,http://www.cr7services.com,Information Technology,South East England,£6M - £10M
220,CRAIG OF CAMPBELTOWN LIMITED,http://www.westcoastmotors.co.uk,Transportation services,Scotland,£20M - £30M
221,CRAWSHAW GROUP PLC,https://www.crawshawbutchers.com,Food & Beverage,Yorkshire and the Humber,£40M - £50M
222,CREIGHTONS PLC,http://www.creightons.com,Retail,East of England,£30M - £40M
223,CROMAR BUILDING PRODUCTS LIMITED,http://www.cromarbuildingproducts.com/,Building & Landscape services,Yorkshire and the Humber,£10M - £20M
224,CROWN CARE IV LIMITED,https://www.crowncaregroup.co.uk,Healthcare,North East England,£6M - £10M
225,CUPIO HEALTHCARE LTD,http://www.precious-homes.co.uk,Healthcare,London,£10M - £20M
226,CURZON ADVISERS LIMITED,http://www.curzonadvisers.com,Financial services,London,£10M - £20M
227,CUSTODIAN REIT PLC,http://www.custodianreit.com/,Real Estate,East Midlands,£20M - £30M
228,CVS GROUP PLC,https://www.cvsukltd.co.uk,Professional services,East of England,£200M - £250M
229,CYGNET PROPERTIES AND LEISURE PLC,https://cygnetproperties.co.uk/,Real Estate,London,£6M - £10M
230,D.S. WATSON CIVIL ENGINEERING (ANGLIA) LIMITED,http://www.dswatson.co.uk,Building & Landscape services,East of England,£10M - £20M
231,DAB CIVIL ENGINEERING CONTRACTORS LIMITED,http://www.dab-engineering.co.uk/,Building & Landscape services,East Midlands,£10M - £20M
232,DALE BROTHERS U.K. LIMITED,http://www.dalebrothers.co.uk ,Postal Services,North West England,£10M - £20M
233,DAMIRA DENTAL STUDIOS LIMITED,http://damiradental.co.uk,Healthcare,London,£6M - £10M
234,DANSHELL HEALTHCARE LIMITED,http://www.danshell.co.uk/,Healthcare,London,£20M - £30M
235,DATAART TECHNOLOGIES UK LTD,https://www.dataart.com,Information Technology,London,£6M - £10M
236,DAVID CHRISTOPHER JEWELLERS LIMITED,https://www.davidchristopher.co.uk,Retail,West Midlands,£10M - £20M
237,DAVISONS SOLICITORS LIMITED,http://www.davisonsinfo.co.uk/,Legal & Accounting,West Midlands,£6M - £10M
238,DAWNFRESH HOLDINGS LIMITED,http://www.dawnfresh.co.uk,Farming & Fishery,Scotland,£50M - £75M
239,DB BROADCAST HOLDINGS LTD,http://dbbroadcast.co.uk,Information Technology,East of England,£10M - £20M
240,DEARNESIDE FABRICATIONS LIMITED,http://www.dearnesidefabs.co.uk,Metal Manufacturing & Engineering,Yorkshire and the Humber,£10M - £20M
241,DECORA BLIND SYSTEMS LIMITED,http://www.decora.co.uk/ ,Retail,Northern Ireland,£50M - £75M
242,DEFENX PLC,http://www.defenx.com,Security,London,£6M - £10M
243,DELATIM LIMITED,http://delatim.co.uk,Engineering & Construction,London,£10M - £20M
244,DERRY LIMITED,http://derryltd.co.uk,Professional services,East Midlands,£10M - £20M
245,DIGITAL CATAPULT,https://www.digitalcatapultcentre.org.uk,Information Technology,London,£10M - £20M
246,DIGITAVIA LIMITED,https://www.digitavia.com,Retail,South East England,£6M - £10M
